kor,eng,sentence1_kor,sentence1_eng,sentence2_kor,sentence2_eng,sentence3_kor,sentence3_eng
관개,irrigation,관개 시설을 만들었어요.,I built irrigation facilities.,농업에 관개가 중요해요.,Irrigation is important for agriculture.,새로운 관개 시스템은 농작물 생산량을 크게 늘렸습니다.,The new irrigation system significantly increased crop yields.
기관,institution,교육 기관이에요.,It's an educational institution.,새로운 기관을 설립했어요.,I established a new institution.,그들은 사회적 정의를 증진하기 위한 기관을 설립했습니다.,They established an institution to promote social justice.
틀,frame,사진 틀을 만들었어요.,I made a photo frame.,창문 틀이 낡았어요.,The window frame is old.,그는 그림을 나무 틀에 넣었습니다.,He placed the painting in a wooden frame.
논리적인,logic,논리적인 생각이에요.,It's a logical thought.,논리가 중요해요.,Logic is important.,그녀는 문제를 해결하는 데 논리적인 접근 방식을 사용했습니다.,She used a logical approach to solve the problem.
선의,goodwill,선의를 보여줬어요.,He showed goodwill.,선의의 경쟁이었어요.,It was a goodwill competition.,그들은 상호 선의와 이해를 바탕으로 협상했습니다.,They negotiated based on mutual goodwill and understanding.
공포,horror,공포 영화를 봤어요.,I watched a horror movie.,공포를 느꼈어요.,I felt horror.,그는 전쟁의 공포를 경험했습니다.,He experienced the horrors of war.
유산,heritage,문화유산을 보존해야 해요.,We should preserve cultural heritage.,유산이 중요해요.,Heritage is important.,그 도시는 풍부한 역사적 유산을 자랑합니다.,The city boasts a rich historical heritage.
산출하다,yield,많은 곡물을 산출했어요.,It yielded a lot of grain.,권리에 양보했어요.,I yielded to his right.,그들의 노력은 풍부한 수확을 산출했습니다.,Their efforts yielded a rich harvest.
숙어,idiom,숙어를 배웠어요.,I learned an idiom.,이 숙어의 의미는 무엇인가요?,What is the meaning of this idiom?,그녀는 영어 숙어를 유창하게 사용합니다.,She uses English idioms fluently.
제국,empire,로마 제국을 연구했어요.,I studied the Roman Empire.,제국이 무너졌어요.,The empire fell.,몽골 제국은 역사상 가장 큰 제국 중 하나였습니다.,The Mongol Empire was one of the largest empires in history.
운명,fate,운명을 믿어요.,I believe in fate.,그것은 운명이었어요.,It was fate.,그녀는 자신의 운명을 스스로 개척하기로 결정했습니다.,She decided to forge her own fate.
깃털,feather,새 깃털을 주웠어요.,I picked up a bird feather.,깃털은 가벼워요.,Feathers are light.,그 새는 아름다운 깃털을 가지고 있습니다.,The bird has beautiful feathers.
진화,evolution,진화론을 배웠어요.,I learned about evolution.,인류는 진화하고 있어요.,Humanity is evolving.,다윈의 진화론은 생물학에 혁명을 가져왔습니다.,Darwin's theory of evolution revolutionized biology.
발효,fermentation,발효 음식을 만들었어요.,I made fermented food.,발효 과정이 중요해요.,The fermentation process is important.,빵을 만들기 위해 효모를 사용하여 반죽을 발효시킵니다.,To make bread, yeast is used to ferment the dough.
가뭄,drought,가뭄이 심해요.,The drought is severe.,가뭄으로 농작물이 죽었어요.,Crops died due to drought.,장기간의 가뭄은 농업에 심각한 피해를 입혔습니다.,A prolonged drought caused severe damage to agriculture.
소풍,excursion,소풍을 갔어요.,I went on an excursion.,짧은 여행이었어요.,It was a short excursion.,그들은 주말에 시골로 짧은 소풍을 떠났습니다.,They took a short excursion to the countryside for the weekend.
백과사전,encyclopedia,백과사전을 읽었어요.,I read an encyclopedia.,정보가 많아요.,It has a lot of information.,그녀는 백과사전에서 특정 주제에 대한 정보를 찾아보았습니다.,She looked up information on a specific topic in the encyclopedia.
지름,diameter,원의 지름을 쟀어요.,I measured the diameter of the circle.,지름이 길어요.,The diameter is long.,그 나무의 지름은 1미터가 넘습니다.,The tree's diameter is over one meter.
정육면체,cube,정육면체를 만들었어요.,I made a cube.,주사위는 정육면체예요.,A dice is a cube.,그 아이는 나무 블록으로 정육면체를 만들었습니다.,The child built a cube with wooden blocks.
원뿔,cone,원뿔을 그렸어요.,I drew a cone.,아이스크림 콘을 먹었어요.,I ate an ice cream cone.,도로 작업자들은 도로에 원뿔을 놓아 교통을 유도했습니다.,Road workers placed cones on the road to direct traffic.
피드백,feedback,피드백을 받았어요.,I received feedback.,피드백이 중요해요.,Feedback is important.,그녀는 자신의 발표에 대한 건설적인 피드백을 환영했습니다.,She welcomed constructive feedback on her presentation.
감소하다,decline,인구가 감소했어요.,The population declined.,건강이 나빠졌어요.,His health declined.,그 회사의 수익은 지난 몇 년간 꾸준히 감소했습니다.,The company's profits have been steadily declining over the past few years.
벗기다,strip,옷을 벗겼어요.,I stripped off my clothes.,테이프를 벗겼어요.,I stripped off the tape.,그는 오래된 페인트를 벗겨내기 위해 벽을 벗겼습니다.,He stripped the wall to remove the old paint.
의심하다,suspect,그를 의심했어요.,I suspected him.,용의자를 체포했어요.,They arrested the suspect.,경찰은 그가 범죄에 연루되었다고 의심합니다.,The police suspect him of being involved in the crime.
고고학자,archaeologist,고고학자를 만났어요.,I met an archaeologist.,고대 유적을 발굴해요.,Archaeologists excavate ancient ruins.,그 고고학자들은 고대 문명의 유적을 발굴했습니다.,The archaeologists excavated the remains of an ancient civilization.
변호사,attorney,변호사를 고용했어요.,I hired an attorney.,유명한 변호사예요.,He is a famous attorney.,그녀는 법률 문제에 대해 변호사와 상담했습니다.,She consulted with an attorney about her legal issues.
소매,sleeve,소매가 길어요.,The sleeve is long.,셔츠 소매를 걷어 올렸어요.,I rolled up my shirt sleeves.,그녀는 셔츠 소매를 걷어 올리고 일하기 시작했습니다.,She rolled up her sleeves and started to work.
애벌레,caterpillar,애벌레를 봤어요.,I saw a caterpillar.,애벌레는 나비가 돼요.,A caterpillar becomes a butterfly.,애벌레는 나비로 변태하기 전에 잎을 먹고 자랍니다.,The caterpillar eats leaves and grows before transforming into a butterfly.
시리얼,cereal,시리얼을 먹었어요.,I ate cereal.,곡물로 만들었어요.,It's made of cereal grains.,아침 식사로 시리얼을 먹는 것을 좋아합니다.,I like to eat cereal for breakfast.
진흙,mud,진흙탕에 빠졌어요.,I fell into the mud.,진흙이 많아요.,There is a lot of mud.,비가 온 후 도로는 진흙으로 뒤덮였습니다.,After the rain, the road was covered in mud.
절벽,cliff,절벽에 서 있었어요.,I stood on the cliff.,절벽이 높아요.,The cliff is high.,그들은 절벽 가장자리에 서서 아래 바다를 바라보았습니다.,They stood on the edge of the cliff, looking at the sea below.
집,cabin,오두막집에 살아요.,I live in a cabin.,선실이 좁아요.,The cabin is small.,그들은 숲 속의 아늑한 오두막집에서 휴가를 보냈습니다.,They spent their vacation in a cozy cabin in the woods.
건축,architecture,건축을 공부해요.,I study architecture.,아름다운 건축물이에요.,It's beautiful architecture.,그 도시는 독특한 현대 건축물로 유명합니다.,The city is famous for its unique modern architecture.
민주주의,democracy,민주주의 국가예요.,It's a democratic country.,민주주의는 중요해요.,Democracy is important.,민주주의는 시민들에게 발언권을 부여합니다.,Democracy grants citizens a voice.
관리,administration,정부 행정부에서 일해요.,I work in government administration.,관리 능력이 뛰어나요.,His administration skills are excellent.,새로운 행정부는 경제 개혁을 약속했습니다.,The new administration promised economic reforms.
가정,assumption,가정을 했어요.,I made an assumption.,그의 가정은 틀렸어요.,His assumption was wrong.,그녀는 그가 동의할 것이라는 가정하에 계획을 세웠습니다.,She made plans under the assumption that he would agree.
부담,burden,부담이 커요.,The burden is heavy.,그는 부담을 느꼈어요.,He felt a burden.,그녀는 가족의 재정적 부담을 짊어졌습니다.,She carried the financial burden of her family.
광내다,polish,신발을 광냈어요.,I polished my shoes.,가구를 광냈어요.,I polished the furniture.,그녀는 은 식기를 광내어 빛나게 했습니다.,She polished the silver cutlery until it shone.
씨를뿌리다,sow,씨를 뿌렸어요.,I sowed seeds.,희망을 심었어요.,I sowed hope.,농부는 봄에 밭에 씨앗을 뿌립니다.,The farmer sows seeds in the field in spring.
대변인,spokesperson,대변인을 만났어요.,I met a spokesperson.,정부 대변인이에요.,He is a government spokesperson.,그녀는 회사의 공식 대변인으로 활동합니다.,She acts as the official spokesperson for the company.
2학년,sophomore,저는 2학년이에요.,I am a sophomore.,2학년이 됐어요.,I became a sophomore.,그는 대학교 2학년으로서 새로운 학년을 시작했습니다.,He began his new academic year as a sophomore in college.
유치원,kindergarten,유치원에 다녀요.,I go to kindergarten.,유치원 선생님이에요.,I am a kindergarten teacher.,그녀는 유치원에서 아이들을 가르치는 것을 좋아합니다.,She enjoys teaching children in kindergarten.
부족,tribe,부족에 속해요.,I belong to a tribe.,원시 부족이에요.,It's a primitive tribe.,그들은 고대 부족의 전통을 보존하고 있습니다.,They preserve the traditions of an ancient tribe.
산들바람,breeze,산들바람이 불었어요.,A breeze blew.,시원한 산들바람이었어요.,It was a cool breeze.,부드러운 산들바람이 나뭇잎 사이로 불어왔습니다.,A gentle breeze rustled through the leaves.
경치,scenery,경치가 아름다워요.,The scenery is beautiful.,산 경치를 좋아해요.,I like mountain scenery.,그들은 여행 내내 아름다운 시골 풍경을 즐겼습니다.,They enjoyed the beautiful countryside scenery throughout their trip.
습지,wetland,습지를 보호해야 해요.,We should protect wetlands.,습지는 생물 다양성이 풍부해요.,Wetlands are rich in biodiversity.,이 습지는 다양한 철새들의 중요한 서식지입니다.,This wetland is an important habitat for various migratory birds.
정직,honesty,정직이 최선의 정책이에요.,Honesty is the best policy.,그는 정직한 사람이에요.,He is an honest person.,그녀의 정직함은 모든 사람에게 존경받았습니다.,Her honesty was respected by everyone.
절약,thrift,절약을 실천해요.,I practice thrift.,절약하는 습관을 길렀어요.,I developed a habit of thrift.,그녀는 절약을 통해 재정적 안정을 이루었습니다.,She achieved financial stability through thrift.
기질,temper,그는 성질이 급해요.,He has a quick temper.,화를 참았어요.,I controlled my temper.,그녀는 화를 잘 내지 않는 차분한 기질을 가지고 있습니다.,She has a calm temper and rarely gets angry.
서명,signature,서명을 했어요.,I signed my signature.,친필 서명이에요.,It's an autograph signature.,그는 계약서에 자신의 서명을 남겼습니다.,He left his signature on the contract.
거래,transaction,거래를 완료했어요.,I completed the transaction.,안전한 거래였어요.,It was a safe transaction.,모든 금융 거래는 기록되어야 합니다.,All financial transactions must be recorded.
맛,flavor,맛이 좋아요.,The flavor is good.,풍미가 깊어요.,The flavor is rich.,이 요리는 독특한 맛과 향을 가지고 있습니다.,This dish has a unique flavor and aroma.
경사로,slope,경사로를 올라갔어요.,I walked up the slope.,스키 슬로프가 가파라요.,The ski slope is steep.,그들은 언덕의 가파른 경사면을 올라갔습니다.,They ascended the steep slope of the hill.
순항하다,cruise,배가 순항했어요.,The ship cruised.,크루즈 여행을 갔어요.,I went on a cruise.,그들은 지중해를 따라 호화로운 크루즈 여행을 즐겼습니다.,They enjoyed a luxurious cruise along the Mediterranean Sea.
프리랜서,freelancer,프리랜서로 일해요.,I work as a freelancer.,프리랜서 작가예요.,I am a freelance writer.,그녀는 유연한 근무 시간을 위해 프리랜서로 일하기로 결정했습니다.,She decided to work as a freelancer for flexible hours.
턱,jaw,턱이 아파요.,My jaw hurts.,턱을 다쳤어요.,I injured my jaw.,그는 화가 나서 턱을 꽉 다물었습니다.,He clenched his jaw in anger.
설교,sermon,설교를 들었어요.,I listened to a sermon.,목사님의 설교였어요.,It was the pastor's sermon.,목사님은 용서의 중요성에 대한 감동적인 설교를 했습니다.,The pastor delivered a moving sermon on the importance of forgiveness.
경로,route,경로를 찾았어요.,I found a route.,최단 경로를 선택했어요.,I chose the shortest route.,그들은 목적지에 도달하기 위한 가장 효율적인 경로를 계획했습니다.,They planned the most efficient route to reach their destination.
목장,ranch,목장에서 일해요.,I work at a ranch.,큰 목장이에요.,It's a big ranch.,그는 텍사스에 넓은 목장을 소유하고 있습니다.,He owns a vast ranch in Texas.
강우량,rainfall,강우량이 많아요.,The rainfall is high.,강우량이 부족해요.,There is a lack of rainfall.,지난달 강우량은 평년보다 훨씬 많았습니다.,Last month's rainfall was much higher than average.
복권,lottery,복권에 당첨됐어요.,I won the lottery.,복권을 샀어요.,I bought a lottery ticket.,그녀는 복권에 당첨되어 인생이 바뀌었습니다.,She won the lottery, and her life changed.
연속,sequence,연속된 사건이었어요.,It was a sequence of events.,순서를 지켰어요.,I followed the sequence.,그들은 일련의 논리적인 단계에 따라 작업을 수행했습니다.,They performed the task in a logical sequence of steps.
필수품,necessity,물은 필수품이에요.,Water is a necessity.,필수품을 샀어요.,I bought necessities.,음식, 물, 그리고 피난처는 생존의 기본 필수품입니다.,Food, water, and shelter are basic necessities for survival.
생산성,productivity,생산성이 증가했어요.,Productivity increased.,생산성을 높여야 해요.,We need to increase productivity.,새로운 기술은 회사의 생산성을 크게 향상시켰습니다.,The new technology significantly improved the company's productivity.
구원,salvation,구원을 받았어요.,I received salvation.,영혼의 구원이에요.,It's the salvation of the soul.,많은 사람들은 종교에서 영혼의 구원을 찾습니다.,Many people find salvation for their souls in religion.
낮잠,nap,낮잠을 잤어요.,I took a nap.,짧은 낮잠이었어요.,It was a short nap.,그녀는 오후에 짧은 낮잠을 자는 것을 좋아합니다.,She likes to take a short nap in the afternoon.
먹이,prey,사자가 먹이를 잡았어요.,The lion caught its prey.,먹이를 찾고 있어요.,I am looking for prey.,독수리는 작은 설치류를 먹이로 삼습니다.,Eagles prey on small rodents.
환불하다,refund,환불 받았어요.,I got a refund.,돈을 환불해 주세요.,Please refund my money.,그녀는 불량품에 대해 전액 환불을 받았습니다.,She received a full refund for the defective product.
엎지르다,spill,물을 엎질렀어요.,I spilled water.,우유를 엎질렀어요.,I spilled milk.,그는 실수로 커피를 테이블에 엎질렀습니다.,He accidentally spilled coffee on the table.
소수,minority,소수 의견이에요.,It's a minority opinion.,소수 민족이에요.,It's an ethnic minority.,그들은 소수 민족의 권리를 보호하기 위해 노력합니다.,They work to protect the rights of minority groups.
보행자,pedestrian,보행자가 많아요.,There are many pedestrians.,보행자 도로예요.,It's a pedestrian road.,보행자들은 횡단보도를 이용해야 합니다.,Pedestrians must use the crosswalk.
의사,physician,의사를 만났어요.,I met a physician.,유명한 의사예요.,He is a famous physician.,그녀는 가족 의사에게 정기 검진을 받았습니다.,She had a regular checkup with her family physician.
서리,frost,서리가 내렸어요.,Frost appeared.,서리가 많아요.,There is a lot of frost.,아침에 창문에 서리가 맺혔습니다.,Frost formed on the windows in the morning.
빙하,glacier,빙하를 봤어요.,I saw a glacier.,빙하가 녹고 있어요.,Glaciers are melting.,빙하는 수천 년 동안 천천히 움직입니다.,Glaciers move slowly over thousands of years.
은하,galaxy,은하수를 봤어요.,I saw the Milky Way galaxy.,우리 은하계에 살아요.,We live in our galaxy.,우리 은하계에는 수십억 개의 별이 있습니다.,There are billions of stars in our galaxy.
분자,molecule,물 분자를 봤어요.,I saw a water molecule.,분자는 작아요.,Molecules are small.,물은 수소와 산소 원자로 구성된 분자입니다.,Water is a molecule composed of hydrogen and oxygen atoms.
머릿기사,headline,머릿기사를 읽었어요.,I read the headline.,큰 뉴스였어요.,It was a big headline.,그 뉴스는 모든 신문의 머릿기사를 장식했습니다.,The news made headlines in all newspapers.
한가운데,midst,군중 한가운데에 있었어요.,I was in the midst of the crowd.,어려움 속에서.,In the midst of difficulties.,그녀는 혼란스러운 상황 한가운데에서도 침착함을 유지했습니다.,She remained calm in the midst of the chaotic situation.
안내,guidance,안내를 받았어요.,I received guidance.,지도자의 안내가 필요해요.,I need the guidance of a leader.,그녀는 경험 많은 멘토로부터 귀중한 지도를 받았습니다.,She received valuable guidance from an experienced mentor.
슬픔,grief,슬픔을 느꼈어요.,I felt grief.,깊은 슬픔이었어요.,It was deep grief.,그녀는 사랑하는 사람을 잃은 슬픔으로 고통받았습니다.,She suffered from grief after losing her loved one.
탐욕,greed,탐욕은 나빠요.,Greed is bad.,탐욕스러운 사람이에요.,He is a greedy person.,탐욕은 종종 파괴적인 결과를 초래합니다.,Greed often leads to destructive consequences.
서정시,lyric,서정시를 썼어요.,I wrote a lyric poem.,노래 가사가 좋아요.,The song lyrics are good.,그녀는 아름다운 가사를 가진 노래를 불렀습니다.,She sang a song with beautiful lyrics.
얼룩,stain,얼룩이 생겼어요.,A stain appeared.,옷에 얼룩이 묻었어요.,I got a stain on my clothes.,그녀는 옷에서 커피 얼룩을 제거하려고 노력했습니다.,She tried to remove the coffee stain from her dress.
대부금,loan,대부금을 받았어요.,I received a loan.,은행 대출이에요.,It's a bank loan.,그는 사업을 시작하기 위해 은행에서 대출을 받았습니다.,He took out a loan from the bank to start his business.
배아,embryo,배아를 연구했어요.,I studied an embryo.,생명의 시작이에요.,It's the beginning of life.,과학자들은 인간 배아 발달을 연구합니다.,Scientists study human embryo development.
태아,fetus,태아의 성장을 관찰했어요.,I observed the growth of the fetus.,태아는 자라고 있어요.,The fetus is growing.,초음파 검사를 통해 태아의 건강을 확인했습니다.,The ultrasound confirmed the health of the fetus.
팔꿈치,elbow,팔꿈치가 아파요.,My elbow hurts.,팔꿈치를 부딪쳤어요.,I hit my elbow.,그는 팔꿈치로 문을 열었습니다.,He opened the door with his elbow.
살,flesh,살이 부드러워요.,The flesh is soft.,살과 피가 있어요.,I have flesh and blood.,그는 과일의 부드러운 과육을 먹었습니다.,He ate the soft flesh of the fruit.
섬유질,fiber,섬유질이 풍부한 음식을 먹었어요.,I ate fiber-rich food.,섬유질은 소화에 좋아요.,Fiber is good for digestion.,이 시리얼은 섬유질이 풍부하여 소화에 도움이 됩니다.,This cereal is rich in fiber, which aids digestion.
세제,detergent,세제로 설거지했어요.,I washed dishes with detergent.,세탁 세제가 필요해요.,I need laundry detergent.,그녀는 세제를 사용하여 옷의 얼룩을 제거했습니다.,She used detergent to remove the stain from her clothes.
축제,feast,축제를 즐겼어요.,I enjoyed the feast.,큰 잔치였어요.,It was a big feast.,그들은 추수 감사절에 큰 잔치를 벌였습니다.,They held a grand feast for Thanksgiving.
탐험,expedition,탐험을 떠났어요.,I went on an expedition.,위험한 탐험이었어요.,It was a dangerous expedition.,그들은 미지의 땅을 탐험하기 위한 과학 탐험을 시작했습니다.,They embarked on a scientific expedition to explore unknown lands.
예외,exception,예외가 있어요.,There is an exception.,예외는 규칙을 증명해요.,The exception proves the rule.,그녀는 모든 규칙에 예외가 있다고 주장했습니다.,She argued that there is an exception to every rule.
부분,portion,한 부분을 먹었어요.,I ate a portion.,작은 부분이에요.,It's a small portion.,그는 저에게 케이크 한 조각을 주었습니다.,He gave me a portion of cake.
위엄,dignity,위엄을 지켰어요.,He maintained his dignity.,위엄 있는 모습이었어요.,He had a dignified appearance.,그녀는 어려운 상황에서도 자신의 존엄성을 유지했습니다.,She maintained her dignity even in difficult circumstances.
재정,finance,재정을 관리해요.,I manage my finances.,재정 문제가 있어요.,I have financial problems.,그는 회사의 재정을 책임지고 있습니다.,He is responsible for the company's finance.
연습,drill,연습을 했어요.,I did a drill.,드릴로 구멍을 뚫었어요.,I drilled a hole with a drill.,소방 훈련은 비상 상황에 대비하는 데 필수적입니다.,Fire drills are essential for preparing for emergencies.
나사,screw,나사를 조였어요.,I tightened the screw.,나사가 풀렸어요.,The screw came loose.,그는 드라이버로 나사를 돌렸습니다.,He turned the screw with a screwdriver.
퍼내다,scoop,국자로 물을 퍼냈어요.,I scooped water with a scoop.,큰 국자예요.,It's a big scoop.,그녀는 아이스크림을 큰 국자로 퍼냈습니다.,She scooped out a large portion of ice cream.
동료,colleague,동료와 일해요.,I work with my colleague.,좋은 동료예요.,He is a good colleague.,그녀는 새로운 프로젝트에서 동료들과 협력했습니다.,She collaborated with her colleagues on the new project.
벽장,closet,벽장에 옷을 걸었어요.,I hung clothes in the closet.,벽장이 좁아요.,The closet is small.,그녀는 벽장에서 오래된 코트를 꺼냈습니다.,She pulled an old coat from the closet.
비행기,aircraft,비행기를 탔어요.,I rode an aircraft.,군용 비행기예요.,It's a military aircraft.,그들은 새로운 유형의 항공기를 개발하고 있습니다.,They are developing a new type of aircraft.
만,bay,만에 배가 있어요.,There is a ship in the bay.,아름다운 만이에요.,It's a beautiful bay.,그들은 잔잔한 만에서 보트를 타고 항해했습니다.,They sailed their boat in the calm 
